# Synonym replacements applied IN ORDER before matching.
# Format: <source><TAB><target>.  Empty target = delete the source phrase.
# ORDER MATTERS (sequential replace). Provenance: MATCHER_CHANGES.txt.

whole wheat flour, whole-grain	wheat flour, wholemeal
whole wheat flour, for crust	wheat flour, wholemeal
whole wheat flour, for roux	wheat flour, wholemeal
whole wheat flour, fine	wheat flour, wholemeal
whole wheat flour, plain	wheat flour, wholemeal
whole wheat flour	wheat flour, wholemeal
whole-wheat flour, wholemeal	wheat flour, wholemeal
whole-wheat flour, whole-grain	wheat flour, wholemeal
whole-wheat flour	wheat flour, wholemeal
wholewheat flour	wheat flour, wholemeal
plain wholemeal flour	wheat flour, wholemeal
plain whole-wheat flour	wheat flour, wholemeal
wholemeal flour, unspecified	wheat flour, wholemeal
wholemeal flour	wheat flour, wholemeal
wholewheat	wholemeal
whole-wheat	wholemeal
whole wheat	wholemeal
linguine	pasta, plain
fettuccine	pasta, plain
penne	pasta, plain
tagliatelle	pasta, plain
kalamata olives	olives, black
kalamata olive	olives, black
olives, kalamata	olives, black
black olives	olives, black
gruyère	gruyere
bicarbonate of soda	baking soda
baking powder, double acting	baking powder
double acting baking powder	baking powder
baking powder, aluminum free	baking powder
onions, raw	onion
onions, yellow	onion
onion, yellow	onion
onion, white	onion
onion, red	onion
marinara sauce, prepared	tomato puree
marinara sauce	tomato puree
passata di pomodoro	tomato
passata	tomato
tomato passata	tomato
parsnips	parsnip
tomato purée	tomato puree
cocoa solids	
white button mushroom	mushroom common
white mushroom	mushroom
button mushroom	mushroom
red pepper flakes	pepper chili red
crushed red pepper	pepper chili red
chili flakes	pepper chili red
red chili flakes	pepper chili red
sesame oil, toasted (for dipping sauce)	oil, sesame
sesame oil, toasted	oil, sesame
sesame oil, dark	oil, sesame
sesame oil, refined	oil, sesame
sesame oil	oil, sesame
fresh or frozen	
sesame seeds, white	sesame seeds
sesame seeds, black	sesame seeds
sesame seeds, hulled	sesame seeds
canola oil	oil, rapeseed
coconut oil	oil, coconut
sweetcorn	sweet corn
corn kernels	sweet corn
corn kernel	sweet corn
bread crumbs	breadcrumbs
lamb mince, lean	minced meat, lamb
lamb mince	minced meat, lamb
vital wheat gluten flour	wheat flour
vital wheat gluten	wheat flour
brown rice noodles, dry	noodles, rice
brown rice noodles	noodles, rice
coconut flakes, toasted	coconut, desiccated
coconut flakes	coconut, desiccated
worcestershire sauce, reduced sugar	worcestershire sauce
worcestershire sauce, reduced-sugar	worcestershire sauce
pumpkin purée	pumpkin
ground flaxseeds	linseeds
flaxseeds, ground	linseeds
flaxseeds	linseeds
ground flaxseed	linseeds
flaxseed	linseeds
flax seed	linseeds
ground flax seed	linseeds
pecans	pecan nuts
pecan	pecan nuts
flank steak	beef, striploin
flat iron steak	beef, striploin
skirt steak	beef, striploin
sirloin steak	beef, striploin
fettuccini	pasta, plain
wholemeal manicotti pasta tubes	pasta, plain
wholemeal manicotti shells	pasta, plain
manicotti pasta tubes	pasta, plain
manicotti shells	pasta, plain
manicotti	pasta, plain
ziti	pasta, plain
rigatoni	pasta, plain
orzo	pasta, plain
jalapeño pepper	jalapeno
jalapeños	jalapeno
jalapeño	jalapeno
polenta	cornmeal
stone-ground corn grits	cornmeal
stone ground corn grits	cornmeal
corn grits, stone-ground	cornmeal
corn grits, coarse	cornmeal
corn grits, whole grain	cornmeal
corn grits, fine, whole grain	cornmeal
corn grits	cornmeal
quick-cooking corn grits	cornmeal
quick cooking grits	cornmeal
quick-cooking grits	cornmeal
grits, dry, stone-ground	cornmeal
grits, dry, white corn	cornmeal
grits, white corn, dry	cornmeal
grits, white corn	cornmeal
grits, corn, white, quick-cooking	cornmeal
grits, corn, white	cornmeal
grits, unenriched, regular or quick, dry	cornmeal
grits, dry	cornmeal
stone-ground grits	cornmeal
stone ground grits	cornmeal
grits	cornmeal
stone-ground cornmeal	cornmeal
stone ground cornmeal	cornmeal
buffalo hot sauce	sriracha
buffalo sauce	sriracha
hot pepper sauce, buffalo style	sriracha
hot pepper sauce	sriracha
chili sauce, sriracha	sriracha
chili sauce sriracha	sriracha
demerara sugar	sugar, brown
cannellini	beans, white, large
pecorino romano	cheese, parmesan
pecorino	cheese, parmesan
vinegar, white wine	vinegar
vinegar, red wine	vinegar
vinegar, cane	vinegar
jasmine rice	rice, white, long-grain
panko breadcrumbs	breadcrumbs
panko bread crumbs	breadcrumbs
panko	breadcrumbs
baguette	bread, white
no added sugar	
no-added-sugar	
roasted red peppers	sweet pepper, red
roasted red pepper	sweet pepper, red
haricot beans	beans, white, large
haricot bean	beans, white, large
paella rice, short-grain	rice, white, long-grain
bomba rice	rice, white, long-grain
paella rice	rice, white, long-grain
korean pear	pear
asian pear	pear
rocket salad	lettuce
rocket	lettuce
coconut vinegar	vinegar
cane vinegar, white	vinegar
cane vinegar	vinegar
vinegar, white	vinegar
vinegar, rice	vinegar
vinegar, balsamic	vinegar
corn husks	
husks	
mirin (japanese sweet rice wine)	mirin
mirin, sweet cooking rice wine	mirin
mirin (japanese rice wine)	mirin
mirin, japanese rice wine	mirin
mirin (rice wine)	mirin
korean gochujang	gochujang
gochujang paste	gochujang
chipotle peppers in adobo sauce	chipotle
chipotle pepper in adobo sauce	chipotle
chipotle peppers in adobo	chipotle
chipotle in adobo sauce	chipotle
chipotle in adobo	chipotle
chipotle paste	chipotle
gnocchi	potato
oat flakes, whole grain	oatmeal
oat flakes, wholemeal	oatmeal
oat flakes	oatmeal
oats, rolled, blended to flour	oatmeal
steel-cut oats	oatmeal
steel cut oats	oatmeal
soured cream	sour cream
crème fraîche	creme fraiche
cream cheese	cheese, cream
wheat slider buns	bread roll
wheat slider bun	bread roll
slider buns	bread roll
slider bun	bread roll
ditalini	pasta, plain
calamansi	lemon juice
pancetta	bacon
swiss cheese	cheese, swiss
goat milk	milk, goat
goat's milk	milk, goat
capsicum	sweet pepper
mange tout	peas, sugar snap
mangetout	peas, sugar snap
beetroots	beetroot
neutral cooking oil	oil, rapeseed
neutral vegetable oil	oil, rapeseed
wholemeal flatbreads	flatbread
wholemeal flatbread	flatbread
whole wheat flatbreads	flatbread
whole wheat flatbread	flatbread
flatbreads	flatbread
savoiardi biscuits	biscuit
savoiardi biscuit	biscuit
savoiardi	biscuit
pitta	bread, pita
double cream	cream, whipping
light cream	cream, household
cream, single	cream, household
single cream	cream, household
low fat cooking cream	cream, household
low-fat cooking cream	cream, household
cooking cream, light	cream, household
