group_key,n_items,disp_mean,disp_median,disp_p90
8.2,16,0.047369768258522085,0.04795388199616901,0.06328298149086962
15.1,10,0.12281700914390681,0.12116540258750386,0.15148125410959173
3.10,22,0.3105940630420707,0.2254229059181658,0.43384025082106226
5.5.2,8,0.2897799441065523,0.24595074383831855,0.48351304927854427
6.2,113,0.3332898641330005,0.26208328307010104,0.5674573242474853
5.6.4,10,0.35084408360327307,0.2848405760477821,0.6065314945297378
13.1,26,0.33131712212317943,0.2891370317422975,0.6151438114162813
9.5,15,0.3337398756334038,0.2893605586285292,0.5762427982741263
1.1,45,0.4010584308739558,0.3061147643220818,0.5960046379663401
5.5.3,11,0.39275995135608677,0.3062588602943219,0.6654386647084091
3.7,9,0.3711322255382682,0.3198093336812225,0.5089048929030061
5.12,13,0.4303786407240113,0.3230471424683667,0.705940857175012
9.1,35,0.49131304655447894,0.34106237328393996,0.7176812234561614
1.4.7,22,0.4354568658946338,0.3422095884245834,1.026329896047672
3.8,13,0.4230429018715179,0.3583620225330695,0.7068639727961622
5.5.1,18,0.4244350846627771,0.3588959422912512,0.6205541459690775
4.3,30,0.47176731455200205,0.36674399485539133,0.9002352539221422
2,15,0.7777781444323765,0.36918858314000097,1.3390771318830759
5.6.1,15,0.41746900833528694,0.3818815508015415,0.6409119775193883
4.1.2,69,0.5918960244723344,0.38188827965355976,0.9203594948876869
13.2,52,0.587022415462203,0.3902417742404181,0.9982259599435828
4.2,18,0.5412966307760423,0.39649587702029176,1.0378530483038808
1.4.8,9,0.3557132381380917,0.4403480521543804,0.5589750527850385
1.2,15,0.4022869970030751,0.45661994775386316,0.6006410648838251
4.1.1,44,0.5411318202169745,0.4857718573248875,0.9680294693149781
1.4.6,16,0.7612043664727076,0.48827527955631916,1.6060423625838396
3.4,16,0.6662430715698501,0.4901792983493859,1.039804962522545
3.2,15,0.5751045914683174,0.5380443146134577,0.8729847297821207
3.3,16,0.8249054075344621,0.5696383054645465,0.7288557642297456
6.6,44,0.936476109154102,0.6147147639487958,1.8376946155255205
3.1,42,0.8959039389268064,0.6389663098205879,2.22112176163685
3.5,102,0.8501417037013237,0.6391355692610388,1.728148375743618
5.7,20,0.8321324022682657,0.6584106746726046,1.567832856326073
14.2,20,1.0106138028966976,0.699296086656797,1.9097813168272924
9.4,8,0.7204786480710371,0.739846215049999,0.9696847424125186
10.6,54,0.8875091185780354,0.7589137685417664,1.2119493900604215
10.5,20,0.9696208296913662,0.7935432361450048,1.2079834728726666
9.3,27,0.9425974991182383,0.8185047259217628,1.9314673566657383
1.3,10,0.8697634395505748,0.8337275195595608,1.2688138464694205
5.1,44,1.2434949260021884,0.9164459056785138,2.575134031926009
9.2,44,1.615049634766678,0.9219813657874663,4.416683443458763
8.1,25,1.1812907166690827,0.9281970045201373,2.608771379641403
5.2,62,0.9384814156121143,0.9479636813624778,1.1902345822396456
12,36,1.006006506307765,0.9574511542849858,1.3744207830308173
1.4.4,15,1.254861221259716,1.013014802809566,2.248367428483038
4.4,37,1.249892737982143,1.0745847222356864,2.491860798502718
5.3,29,1.4274656227381703,1.155782908609385,2.2926652327553945
5.10,31,1.447612414986729,1.1948226990967552,2.4501137393684704
1.4.5,9,1.1565592500966535,1.212036154251516,1.4840323562372995
5.8,38,1.6409437873006012,1.2322433645264836,2.9862810633202566
7.3,52,1.7019931830032318,1.368696423106175,3.124344254378855
16,41,1.630249371577306,1.3820693916890434,2.454875953983412
11,29,1.9098387608513452,1.4217491436964063,2.96865114274545
7.2,40,2.1606799809118984,1.6320540924774773,4.369098274991683
7.1,9,2.0889106699441076,1.73413704400023,3.418405805365323
8.3,10,1.8041126992120635,1.7493433787311399,2.982488879429335
13.3,65,2.4819488199069375,1.8422806165942505,4.743470821087758
10.11,28,2.2487658119741245,1.8529326787055318,3.9366526005110476
10.7,25,2.852516332847997,1.9542781660664157,6.494383736954711
14.1,17,2.0982825384073287,2.140237359887464,2.6486874939834535
10.10,9,3.3128642899536778,2.566746994075009,5.731170365379117
