food_item_en,unit_en,unit_code,weight_per_dl_g,weight_per_msp_g,weight_per_tbsp_g,weight_per_tsp_g,g_per_unit,gross_g,edible_part_pct,net_g,weight_per_portion_g
Carrot,,,40.0,,,,,6090140.0,89.0,5580125.0,
Cabbage,,,35.0,,,,,1250.0,92.0,1150.0,
Garlic,clove (with skin),,,,,,2.5,55.0,79.0,45.0,
"Garlic, chinese",,,,,,,,25.0,92.0,23.0,
Ginger root,cm of root,,,,,,3.0,,94.0,,
Iceberg lettuce,leaf,,25.0,,,,40.0,510.0,92.0,470.0,
Jalapeño,,,,,,,,15.0,92.0,14.0,
Jerusalem artichoke,,,55.0,,,,,25.0,69.0,17.0,
Cassava,,,,,,,,490.0,84.0,410.0,
"Cabbage, chinese",,,30.0,,,,,800.0,92.0,735.0,
Baby carrots,,,,,,,,,100.0,25.0,
Kohlrabi,,,55.0,,,,,240.0,46.0,110.0,
Coriander,,,5.0,,,,,,78.0,,
Swede,,,55.0,,,,,1000.0,83.0,830.0,
"Onion, yellow/red",,,55.0,,,,,170.0,93.0,160.0,
Sweet corn,,,70.0,,,,,250.0,56.0,140.0,
"Leaf beet, mangold",,,30.0,,,,,,92.0,,
Turnip,,,55.0,,,,,50.0,77.0,40.0,
Sweet pepper,slice,slice,55.0,,,,10.0,170.0,85.0,145.0,
Parsnip,,,55.0,,,,,125.0,80.0,100.0,
Horse-radish,cm of root,,,,,,2.5,,73.0,,
Parsley,,,12.0,,,,,,80.0,,
Parsley root,,,55.0,,,,,100.0,91.0,90.0,
Leek,slice,slice,45.0,,,,2.0,250.0,83.0,210.0,
Rhubarb,,,50.0,,,,,135.0,75.0,100.0,
Raddichio salad,,,30.0,,,,,,91.0,,
Rapid lettuce,,,10.0,,,,,,94.0,,
Radish,,,50.0,,,,,4.2,94.0,4.0,
Romaine salad,,,30.0,,,,,,94.0,,
Brussel sprouts,,,65.0,,,,,15.0,80.0,12.0,
Rocket salad,,,11.0,,,,,,100.0,,
Beetroot,,,55.0,,,,,140.0,86.0,120.0,
"Cabbage, red",,,35.0,,,,,1500.0,80.0,1200.0,
Celariac root,,,50.0,,,,,780.0,70.0,545.0,
Chicory,,,20.0,,,,,,80.0,,
Shallot,,,55.0,,,,,1860.0,72.0,1345.0,
"Salsify, black",,,55.0,,,,,50120.0,63.0,3075.0,
"Mushroom, chantherelle",,,30.0,,,,,6.0,89.0,5.5,
"Mushroom, shiitake",,,30.0,,,,,,100.0,8.0,
"Mushroom, common",,,35.0,,,,,20.0,89.0,18.0,
"Mushroom, oyster",,,30.0,,,,,8.0,89.0,7.0,
"Spinach, frozen",cube,,,,,,14.0,,100.0,,
"Spinach, raw",,,12.0,,,,,,70.0,,
"Cabbage, spring green",,,35.0,,,,,1000.0,80.0,800.0,
"Squash, zucchini",slice,slice,55.0,,,,15.0,300.0,95.0,285.0,
Celery,stalk,,50.0,,,,33.0,500.0,76.0,380.0,
Sweet potato,,,60.0,,,,,180.0,72.0,130.0,
Tomato,slice,slice,65.0,,,,13.0,,100.0,95.0,
"Scallion, spring onion",,,40.0,,,,,20.0,96.0,19.0,
"Cauliflower, cooked",one,piece,,,,,480.0,,,,
"Cauliflower, cooked",floret,,,,,,30.0,,,,
"Broccoli, cooked",one,piece,,,,,440.0,,,,
"Broccoli, cooked",floret,,,,,,35.0,,,,
"Carrot, cooked",one,piece,,,,,50.0,,,,
"Cabbage, cooked",one,piece,,,,,1125.0,,,,
"Swede, cooked",one,piece,,,,,780.0,,,,
"Onion, yellow/red, cooked",one,piece,,,,,157.0,,,,
"Sweet pepper, cooked",one,piece,,,,,125.0,,,,
"Parsley root, cooked",one,piece,,,,,85.0,,,,
"Brussel sprouts, cooked",one,piece,,,,,12.5,,,,
"Cabbage, red, cooked",one,piece,,,,,1175.0,,,,
"Sweet potato, cooked",one,piece,,,,,120.0,,,,
"Cucumber, pickled",slice,slice,55.0,,,,5.0,,,,
"Asparagus, canned",one,piece,,,,,10.0,,,,
"Bamboo shoots, canned",one,piece,60.0,,,,3.0,,,,
"Wok mix, frozen",,,50.0,,,,,,,,
"Ginger, pickled",portion (for sushi),portion,,,,,5.0,,,,
"Capers, canned",one,piece,60.0,,,,3.0,,,,
"Nori, seaweed, dried",one,piece,,,,,2.5,,,,
"Olives, green, pickled",one,piece,50.0,,,,3.0,,,,
"Olives, black, in oil, canned",one,piece,50.0,,,,3.0,,,,
"Beetroot, pickled, canned",slice,slice,70.0,,,,12.0,,,,
"Mushroom, button, canned",,,75.0,,,,,,,,
Sauerkraut,,,100.0,,,,,,,,
"Tomatoes, canned",,,100.0,,,,,,,,
"Tomatoes, sun-dried",one,piece,,,,,3.0,,,,
"Tomatoes, sun-dried, in oil",one,piece,,,,,7.0,,,,
Tomato ketchup,tablespoon,tbsp,110.0,,,,20.0,,,,
Tomato purée,tablespoon,tbsp,100.0,,,,18.0,,,,
"Water chestnuts, canned",,,65.0,,,,,,,,
"Beans, brown, cooked",portion,portion,,,,,190.0,,,,
"Beans, brown, dry",portion,portion,80.0,,,,80.0,,,,
"Beans, green, frozen",one,piece,,,,,3.0,,,,
"Beans, green, raw",one,piece,,,,,3.0,,,,
"Beans, white, in tomato sauce, canned",tablespoon,tbsp,110.0,,,,19.0,,,,
"Beans, white, cooked",,,,,,,,,,,
"Beans, white, large, canned",one,piece,85.0,,,,3.0,,,,
"Beans, white, dry",,,80.0,,,,,,,,
"Beans, mung, dry",,,80.0,,,,,,,,
"Beans, red kidney, canned",tablespoon,tbsp,90.0,,,,18.0,,,,
"Beans, red kidney, dry",,,80.0,,,,,,,,
"Beans, soya, dry",,,80.0,,,,,,,,
"Beans, black, canned",tablespoon,tbsp,90.0,,,,15.0,,,,
"Peas, frozen",,,60.0,,,,,,,,
"Peas, canned",tablespoon,tbsp,70.0,,,,19.0,,,,
"Peas, dry",,,80.0,,,,,,,,
"Chick peas, canned",tablespoon,tbsp,75.0,,,,19.0,,,,
"Chick peas, dry",,,80.0,,,,,,,,
"Lentils, canned",tablespoon,tbsp,100.0,,,,18.0,,,,
"Lentils, cooked",portion,portion,,,,,215.0,,,,
"Lentils, dry",portion,portion,85.0,,,,85.0,,,,
Sugar snap peas,one,piece,,,,,3.5,,,,
Pineapple,decilitre,dl,,,,,65.0,1300.0,51.0,665.0,
Orange,section,,,,,,35.0,150250350.0,78.0,115195275.0,
Orange,decilitre,dl,,,,,70.0,150250350.0,78.0,115195275.0,
Apricots,,,,,,,,37.0,93.0,35.0,
Avocado,decilitre pieces,dl,,,,,60.0,175300.0,74.0,130220.0,
Avocado,decilitre mashed,dl,,,,,90.0,175300.0,74.0,130220.0,
Banana,decilitre,dl,,,,,75.0,180.0,66.0,120.0,
"Carambola, starfruit",,,,,,,,90.0,97.0,85.0,
Cherimoya,decilitre,dl,,,,,75.0,305.0,69.0,210.0,
"Grapes, with seeds",decilitre,dl,,,,,70.0,6.0,96.0,6.0,
"Grapes, without seeds",decilitre,dl,,,,,70.0,4.0,100.0,4.0,
Apple,decilitre,dl,,,,,50.0,100140180.0,91.0,90125165.0,
Peach,,,,,,,,170.0,87.0,150.0,
Pomegranate,decilitre,dl,,,,,60.0,285.0,66.0,190.0,
Grapefruit,,,,,,,,260.0,50.0,130.0,
Guava,,,,,,,,65.0,88.0,55.0,
Prickly pear,,,,,,,,105.0,75.0,80.0,
Kiwi fruit,slice,slice,,,,,15.0,100.0,74.0,75.0,
Kiwi fruit,decilitre,dl,,,,,65.0,,,,
Clementine,,,,,,,,80110.0,77.0,6085.0,
Coconut,,,,,,,,520.0,52.0,270.0,
Kumquat,,,,,,,,20.0,93.0,19.0,
Lime,section/slice,slice,,,,,10.0,80.0,84.0,65.0,
Lychee,,,,,,,,20.0,60.0,12.0,
Mango,decilitre,dl,,,,,70.0,470.0,71.0,335.0,
"Melon, galia",slice,slice,,,,,55.0,550.0,65.0,360.0,
"Melon, galia",decilitre,dl,,,,,70.0,,,,
"Melon, honeydew",slice,slice,,,,,55.0,800.0,46.0,370.0,
"Melon, honeydew",decilitre,dl,,,,,70.0,,,,
"Melon, cantaloupe",decilitre,dl,,,,,70.0,550.0,51.0,280.0,
"Melon, water",slice,slice,,,,,80.0,1500.0,46.0,690.0,
"Melon, water",decilitre,dl,,,,,70.0,,,,
Nectarine,decilitre,dl,,,,,75.0,125.0,91.0,115.0,
Papaya,decilitre,dl,,,,,60.0,400.0,62.0,250.0,
Passion fruit,,,,,,,,30.0,61.0,18.0,
Plums,decilitre,dl,,,,,65.0,3555110.0,94.0,3050105.0,
Pomelo,section,,,,,,20.0,815.0,61.0,495.0,
Pomelo,decilitre,dl,,,,,60.0,,,,
Pear,decilitre,dl,,,,,60.0,160230.0,90.0,145205.0,
"Persimmon, kaki fruit",decilitre,dl,,,,,75.0,155.0,82.0,125.0,
Lemon,slice,slice,,,,,15.0,150.0,53.0,80.0,
Black chokeberries,,,55.0,,,,,,100.0,,
Blackberries,,,55.0,,,,,,100.0,6.0,
Bog blueberries,,,55.0,,,,,,100.0,,
Blueberries,,,55.0,,,,,,100.0,,
Raspberries,,,50.0,,,,,,100.0,5.0,
Elderberries,,,55.0,,,,,,94.0,,
Strawberries,,,60.0,,,,,102030.0,98.0,102030.0,
Cherries,,,60.0,,,,,8.0,86.0,7.0,
Cloudberries,,,50.0,,,,,,100.0,3.0,
"Cherries, sweet",,,60.0,,,,,10.0,89.0,9.0,
Rosehip,,,60.0,,,,,,65.0,,
Cape gooseberries,,,60.0,,,,,4.8,94.0,4.5,
Redcurrants,,,50.0,,,,,,100.0,0.7,
Rowan-berries,,,55.0,,,,,,100.0,,
Blackcurrants,,,50.0,,,,,,100.0,,
Gooseberries,,,60.0,,,,,3.0,98.0,3.0,
Cranberries,,,55.0,,,,,,100.0,,
"Lingonberries, cowberries",,,55.0,,,,,,100.0,,
"Pineapple, canned",ring,,105.0,,,,40.0,,,,
"Apricots, canned",one piece,piece,105.0,,,,40.0,,,,
"Apricots, dried",one,piece,50.0,,,,7.0,,,,
"Dates, dried",one,piece,,,,,8.0,,84.0,,
"Apple, dried",ring,,25.0,,,,5.0,,,,
"Peach, canned",a piece,piece,105.0,,,,90.0,,,,
"Figs, dried",one,piece,80.0,,,,20.0,,96.0,,
"Fruit coctail, canned",,,110.0,,,,,,,,
"Plums, canned",one,piece,120.0,,,,15.0,,,,
"Pear, canned",a piece,piece,105.0,,,,90.0,,,,
Raisins,,,60.0,,,,,,,,
Prunes,one,piece,75.0,,,,8.0,,85.0,,
"Jam, marmalade",portion,portion,115.0,,,,20.0,,,,
"Jam, marmalade",tablespoon,tbsp,,,,,16.0,,,,
Honey,for a slice of bread,slice,140.0,22.0,22.0,11.0,15.0,,,,
Icing sugar,,,55.0,9.0,8.0,4.0,,,,,
Syrup,,,140.0,19.0,16.0,7.5,,,,,
"Chocolate spread, nut spread",for a slice of bread,slice,,,,,15.0,,,,
"Sugar, brown",,,70.0,10.0,10.0,5.5,,,,,
"Sugar, white",sugar cube,sugar_cube,90.0,14.0,13.0,5.0,2.0,,,,
Vanilla sugar,,,,9.0,9.0,4.5,,,,,
"Drops, sweets",one,piece,,,,,3.0,,,,
"Drops, filled",one,piece,,,,,5.0,,,,
Fruit jellies,one,piece,,,,,5.0,,,,
White chocolate,square,,,,,,4.0,,,,
Caramels,one,piece,,,,,5.0,,,,
"Caramels, chocolate covered",one,piece,,,,,6.0,,,,
Cooking chocolate,square,,,,,,4.0,,,,
Cooking chocolate,bar,bar,,,,,100.0,,,,
Snowball,one,piece,,,,,30.0,,,,
"Chocolates, filled",one,piece,,,,,5.0,,,,
Liquorice,one,piece,,,,,5.0,,,,
Liquorice sweets,one,piece,,,,,3.0,,,,
Marzipan,piece,piece,,,,,10.0,,,,
Marzipan,pig,,,,,,65.0,,,,
Marzipan,slice of 0.5 cm,slice,,,,,20.0,,,,
Marzipan bar,one,piece,,,,,25.0,,,,
Milk chocolate,square,,,,,,4.0,,,,
"Milk chocolate, aerated",bar,,,,,,3.0,,,,
Dark chocolate,square,,,,,,4.0,,,,
Pastilles,one,piece,,,,,1.0,,,,
"Chocolates, filled",one,piece,,,,,35.0,,,,
"Chocolate, with jelly and marzipan",one,piece,,,,,15.0,,,,
Marshmallows,one,piece,,,,,7.0,,,,
"Sweets mix, without chocolate",one,piece,,,,,3.0,,,,
"Sweets mix, chocolate included",one,piece,,,,,5.0,,,,
Chewing gum,one,piece,,,,,1.0,,,,
Pork scratchings,decilitre,dl,,,,,17.0,,,,
Pork scratchings,one,piece,,,,,2.0,,,,
Cheese doodles,decilitre,dl,,,,,10.0,,,,
Popcorn,decilitre,dl,,,,,3.0,,,,
Potato crisps,decilitre,dl,,,,,12.0,,,,
"Potato snacks, extruded",decilitre,dl,,,,,20.0,,,,
Salted sticks,one,piece,,,,,2.0,,,,
Tortilla chips,one,piece,,,,,3.0,,,,
"Sesame paste, tahini",tablespoon,tbsp,,,,,16.0,,,,
"Sesame paste, tahini",for a slice of bread,slice,,,,,15.0,,,,
"Soybean curd, tofu",decilitre,dl,,,,,100.0,,,,
"Soy sausage, canned",for a slice of bread,slice,,,,,40.0,,,,
"Vegetable spread, Tartex",for a slice of bread,slice,,,,,15.0,,,,
Coconut fat,,,,,,,,,,,
"Oil, liquid margarine",,,,,10.0,4.5,,,,,
"Butter, margarine",for a slice of bread,slice,,,15.0,7.0,5.0,,,,
Mayonnaise dressing,portion,portion,100.0,,18.0,7.0,25.0,,,,
Oil and vinegar dressing,portion,portion,90.0,,10.0,4.5,25.0,,,,
"Mayonnaise, rémoulade",for a slice of bread,slice,95.0,,13.0,6.0,10.0,,,,
Mayonnaise salad,for a slice of bread,slice,95.0,,16.0,7.0,30.0,,,,
,portion,portion,90.0,,10.0,4.5,5.0,,,,
"Cheeseburger, fastfood",one,piece,,,,,105.0,,,,
Fish gratin,portion,portion,,,,,275.0,,,,
Lamb and cabbage stew,portion,portion,,,,,450.0,,,,
"One-pot meal, casserole",portion,portion,,,,,300.0,,,,
Porridge,portion,portion,,,,,350.0,,,,
Porridge,decilitre,dl,,,,,100.0,,,,
"Burger, double, fastfood",one,piece,,,,,180.0,,,,
"Burger, with extra meat, fastfood",one,piece,,,,,190.0,,,,
"Burger, fastfood",one,piece,,,,,100.0,,,,
"Chicken burger, fastfood",one,piece,,,,,140.0,,,,
"Stew, with meat, potatoes and vegetables",portion,portion,,,,,450.0,,,,
Lasagna,portion,portion,,,,,300.0,,,,
Moussaka,portion,portion,,,,,300.0,,,,
Pie,portion,portion,,,,,300.0,,,,
Pancakes,one,piece,,,,,65.0,,,,
Pasta bolognese,portion,portion,,,,,300.0,,,,
Pizza,portion,portion,,,,,300.0,,,,
Ratatouille,portion,portion,,,,,130.0,,,,
"Salad, with vegetables etc",portion,portion,,,,,135.0,,,,
Sashimi,one,piece,,,,,20.0,,,,
Soup,decilitre,dl,,,,,100.0,,,,
Soup,portion,portion,,,,,350.0,,,,
"Sushi, rolled, maki",one,piece,,,,,25.0,,,,
"Sushi, nigiri",one,piece,,,,,30.0,,,,
Bearnaise sauce,portion,portion,100.0,,,,75.0,,,,
Brown sauce,portion,portion,100.0,,,,75.0,,,,
Bouillon powder,portion,portion,70.0,,11.0,4.5,,,,,
BBQ sauce,portion,portion,,,17.0,6.0,,,,,
Béchamel sauce,portion,portion,100.0,,,,75.0,,,,
Pesto,portion,portion,100.0,,18.0,7.0,,,,,
Instant mashed potato,portion,portion,35.0,,4.0,2.0,,,,,
Gravy sauce,portion,portion,100.0,,,,75.0,,,,
Soy sauce,portion,portion,115.0,,13.0,6.0,,,,,
Taco spice mix,portion,portion,,,8.0,3.5,,,,,
Taco sauce,portion,portion,105.0,,17.0,7.0,,,,,
Berry sauce,portion,portion,100.0,,,,75.0,,,,
Mousse,portion,portion,,,,,140.0,,,,
Jelly,portion,portion,,,,,140.0,,,,
Ice cream,scoop,,60.0,,,,60.0,,,,
Ice cream,portion,portion,,,,,95.0,,,,
"Ice cream, Sandwich",one,piece,,,,,65.0,,,,
"Ice cream, Krone-is",one,piece,,,,,75.0,,,,
"Ice cream, chocolate ice, coated with chocolate",one,piece,,,,,40.0,,,,
"Ice cream, vanilla, in a wafer boat",one,piece,,,,,70.0,,,,
Caramel sauce,tablespoon,tbsp,130.0,,,,17.0,,,,
Caramel sauce,portion,portion,,,,,25.0,,,,
Frosting,tablespoon,tbsp,135.0,,,,17.0,,,,
"Pudding (chocolate, caramel etc)",portion,portion,,,,,140.0,,,,
Rum custard,tablespoon,tbsp,95.0,,,,13.0,,,,
Water ice stick,one,piece,,,,,65.0,,,,
Chocolate frosting,tablespoon,tbsp,130.0,,,,17.0,,,,
Chocolate sauce,tablespoon,tbsp,130.0,,,,17.0,,,,
Chocolate sauce,portion,portion,,,,,25.0,,,,
Chocolate butter cream,tablespoon,tbsp,95.0,,,,14.0,,,,
Sherbet,scoop,,80.0,,,,75.0,,,,
Sherbet,portion,portion,,,,,95.0,,,,
"Vanilla custard, egg custard",tablespoon,tbsp,95.0,,,,13.0,,,,
Vanilla sauce,portion,portion,100.0,,,,75.0,,,,
Baking powder,,,,,14.0,5.5,,,,,
Vinegar,decilitre,dl,,,11.0,5.0,100.0,,,,
Gelatin,leaf,,,,8.0,4.0,2.0,,,,
Cocoa powder,decilitre,dl,,,7.0,4.5,50.0,,,,
Desiccated coconut,decilitre,dl,,,5.0,2.5,35.0,,,,
Coconut milk,decilitre,dl,,,10.0,4.0,95.0,,,,
"Black pepper, whole",,,,,9.0,4.0,,,,,
"Black pepper, grounded",,,,,5.0,2.5,,,,,
"Bakers yeast, compressed",one,piece,,,,,50.0,,,,
"Salt, grounded",decilitre,dl,,,17.0,7.0,130.0,,,,
"Salt, coarse",decilitre,dl,,,16.0,8.0,110.0,,,,
Mustard,decilitre,dl,,,16.0,7.0,100.0,,,,
"Cocoa, instant powder",decilitre,dl,,,8.0,4.0,45.0,,,,
"Bakers yeast, active, dry",packet,packet,,,6.0,3.0,12.0,,,,
"Fruit purée, fruit smoothie",,,100.0,,10.0,5.0,,,,,
"Porridge, powder",,,40.0,,6.0,3.0,,,,,
"Porridge, prepared",,,100.0,,17.0,8.0,,,,,
Food in jars,,,100.0,,16.0,5.0,,,,,
Breast milk,,,100.0,,11.0,5.0,,,,,
"Breast milk replacement/toddler formula, prepared",,,100.0,,11.0,5.0,,,,,
"Breast milk replacement/toddler formula, powder",,,50.0,,7.0,2.0,,,,,
