food_item_en,unit_en,unit_code,weight_per_dl_g,weight_per_msp_g,weight_per_tbsp_g,weight_per_tsp_g,g_per_unit,gross_g,edible_part_pct,net_g,weight_per_portion_g
Meat sausage,per item,piece,,,,,90.0,,,,
"Meat sausage, lean",per item,piece,,,,,90.0,,,,
"Mild dinner sausage, Knakkpølse",per item,piece,,,,,65.0,,,,
"Chicken and turkey sausage, lean",per item,piece,,,,,60.0,,,,
"Chicken and turkey sausage, with cheese",per item,piece,,,,,60.0,,,,
Pork sausage,per item,piece,,,,,400.0,,,,
"Grill sausage, with cheese",per item,piece,,,,,80.0,,,,
Cocktail sausage,per item,piece,,,,,30.0,,,,
Wiener/frankfurter,per item,piece,,,,,65.0,,,,
"Wiener/frankfurter, lean",per item,piece,,,,,65.0,,,,
Smoked picnic shoulder,per slice,slice,,,,,15.0,,,,
Cured leg of mutton,per slice,slice,,,,,15.0,,,,
Pork sausage,per slice,slice,,,,,,,,,
Mutton sausage,per slice,slice,,,,,5.0,,,,
"Turkey ham, for sandwiches",per slice,slice,,,,,11.0,,,,
Veal roll,per slice,slice,,,,,12.0,,,,
Boiled ham,per slice,slice,,,,,12.0,,,,
Lamb roll,per slice,slice,,,,,12.0,,,,
Liver paste,per slice,slice,,,,,,,,,
"Sausage, cured, Morr",per slice,slice,,,,,2.0,,,,
Rolled beef,per slice,slice,,,,,9.0,,,,
Reindeer sausage,per slice,slice,,,,,3.5,,,,
Pork roll,per slice,slice,,,,,14.0,,,,
Roast beef,per slice,slice,,,,,13.0,,,,
Salami,per slice,slice,,,,,7.0,,,,
"Salami, Danish",per slice,slice,,,,,10.0,,,,
"Salami, lean",per slice,slice,,,,,7.0,,,,
Bologna,per slice,slice,,,,,9.0,,,,
"Bologna, lean",per slice,slice,,,,,9.0,,,,
Smoke-cured ham,per slice,slice,,,,,8.0,,,,
"Sausage, Stabburpølse",per slice,slice,,,,,4.5,,,,
"Pork loin, smoked",per slice,slice,,,,,15.0,,,,
Head cheese,per slice,slice,,,,,11.0,,,,
Cured ham,per slice,slice,,,,,12.0,,,,
Smoked picnic shoulder,per slice of bread,slice,,,,,,,,,
Cured leg of mutton,per slice of bread,slice,,,,,,,,,
Pork sausage,per slice of bread,slice,,,,,15.0,,,,
Mutton sausage,per slice of bread,slice,,,,,,,,,
"Turkey ham, for sandwiches",per slice of bread,slice,,,,,,,,,
Veal roll,per slice of bread,slice,,,,,,,,,
Boiled ham,per slice of bread,slice,,,,,,,,,
Lamb roll,per slice of bread,slice,,,,,,,,,
Liver paste,per slice of bread,slice,,,,,20.0,,,,
"Sausage, cured, Morr",per slice of bread,slice,,,,,,,,,
Rolled beef,per slice of bread,slice,,,,,,,,,
Reindeer sausage,per slice of bread,slice,,,,,,,,,
Pork roll,per slice of bread,slice,,,,,,,,,
Roast beef,per slice of bread,slice,,,,,,,,,
Salami,per slice of bread,slice,,,,,,,,,
"Salami, Danish",per slice of bread,slice,,,,,,,,,
