"Matvare
Food item";"Matvaregruppe
Foodgroup";"Vekt pr dl, g 
Weight per dl, g";"Vekt pr ms, g 
Weight per msp, g";"Vekt pr ss, g 
Weight per tbsp, g";"Vekt pr ts, g 
Weight per tsp, g";"g/enhet 
g/unit";"Enhet 
Unit";Brutto g;Spiselig del % Edible part %;Netto g;"Vekt pr porsjon, g 
Weight per portion, g";
"Blåskjell, rå 
Mussel, raw";"Skalldyr 
Shellfish";;;;;70ag;"desiliter 
decilitre";;;;;
"Hummer, kokt 
Lobster, boiled";"Skalldyr tilberedt
Shellfish prepared";;;;;150r,v;"porsjon 
portion";;28an;;;
"Kamskjell, rå 
Scallop, raw";"Skalldyr 
Shellfish";;;;;;;10am;;8am;;
"Krabbe, kokt 
Crab, boiled";"Skalldyr tilberedt
Shellfish prepared";;;;;150r,v;"porsjon 
portion";;40ai;;;
"Krabbepinner, crabsticks 
Crab sticks";"Skalldyr 
Shellfish";;;;;;;;100j;17m;;
"Kreps, kokt 
Crawfish, boiled";"Skalldyr tilberedt
Shellfish prepared";;;;;150r,v;"porsjon 
portion";;12an;;;
"Reker, i lake 
Shrimps, in brine";"Skalldyr 
Shellfish";;;;;70a;"desiliter 
decilitre";;100j;;;
"Reker, innbakt, forfritert 
Shrimps, battered, pre-fried";"Skalldyr tilberedt
Shellfish prepared";;;;;190d;"porsjon 
portion";;100j;7a;;
"Reker, innbakt, forfritert, stekt 
Shrimps, battered, pre-fried, prepared";"Skalldyr tilberedt
Shellfish prepared";;;;;150g;"porsjon 
portion";;100j;5,5d;;
"Reker, kokt 
Shrimps, boiled";"Skalldyr 
Shellfish";;;;;150r,v;"porsjon 
portion";;33ai;;;
"Snegler, hermetisk 
Snails, canned";"Skalldyr 
Shellfish";;;;;70m;"desiliter 
decilitre";;100an;;;
"Østers 
Oyster";"Skalldyr 
Shellfish";;;;;;;100am;10an;10b;;
"Bokhvetemel 
Buckwheat flour";"Korn mel 
Grain flours";65a;10a;11f;4,5f;;;;;;;
"Byggmel 
Barley flour";"Korn mel 
Grain flours";60a;9a;9a;4a;;;;;;;
"Finbakstmel 
Wheat flour, cake flour";"Korn mel 
Grain flours";65a;10a;11a;4,5a;;;;;;;
"Glutenfri fin kakemiks 
Gluten-free cake mix";"Korn mel 
Grain flours";40f;7f;8f;3,5f;;;;;;;
"Glutenfritt mel, grovt 
Gluten-free flour, wholemeal";"Korn mel 
Grain flours";45a;8a;9a;4a;;;;;;;
"Glutenfritt mel, lyst 
Gluten-free flour, white";"Korn mel 
Grain flours";40a;7a;8a;3,5a;;;;;;;
"Grovbakstmel 
Wholemeal flour";"Korn mel 
Grain flours";65a;10a;11a;4,5a;;;;;;;
"Havrekli 
Oatbran";"Korn mel 
Grain flours";50a;7a;7a;3a;;;;;;;
"Havremel 
Oatmeal";"Korn mel 
Grain flours";55a;7a;7a;3a;;;;;;;
"Hvetekim 
Wheatgerm";"Korn mel 
Grain flours";35a;5a;5a;2a;;;;;;;
"Hvetekli 
Wheatbran";"Korn mel 
Grain flours";25a;4a;3,5a;1,5a;;;;;;;
"Hvetemel, sammalt 
Wheat flour, wholemeal";"Korn mel 
Grain flours";60a;9a;9a;3,5a;;;;;;;
"Hvetemel, siktet 
Wheat flour";"Korn mel 
Grain flours";55a;9a;9a;4a;;;;;;;
"Maismel, polenta 
Cornmeal, polenta";"Korn mel 
Grain flours";65a;12a;12a;4,5a;;;;;;;
"Maisstivelse 
Corn starch";"Korn mel 
Grain flours";60a;9a;9a;3,5a;;;;;;;
"Potetmel, potetstivelse 
Potato starch";"Korn mel 
Grain flours";70a;11a;11a;4,5a;;;;;;;
"Rismel 
Rice flour";"Korn mel 
Grain flours";70a;11f;11f;4,5f;;;;;;;
"Rugmel, sammalt 
Rye flour, wholemeal";"Korn mel 
Grain flours";55a;9a;9a;4a;;;;;;;
"Rugmel, siktet 
Rye flour";"Korn mel 
Grain flours";50a;9a;9a;4a;;;;;;;
"Soyamel 
Soy flour";"Korn mel 
Grain flours";45a;8a;9f;4f;;;;;;;
"Bokhvete, hele korn 
Buckwheat, grain";"Gryn 
Grains";75a;12a;10a;;;;;;;;
"Bulgurgryn, kokt 
Bulgur, cooked";"Gryn 
Grains";;;;;225d;"porsjon 
portion";;;;;
"Bulgurgryn, tørr 
Bulgur, uncooked";"Gryn 
Grains";80a;13a;13a;;75f;"porsjon 
portion";;;;;
"Byggryn 
Pearl barley";"Gryn 
Grains";80a;13a;13a;;;;;;;;
"Couscous, kokt 
Couscous, cooked";"Gryn 
Grains";;;;;190d;"porsjon 
portion";;;;;
"Couscous, tørr 
Couscous, uncooked";"Gryn 
Grains";75a;11a;11a;;75v;"porsjon 
portion";;;;;
"Havregryn 
Rolled oats";"Gryn 
Grains";40a;5a;6a;;"100ģ 
";"porsjon 
portion";;;;;
"Hirse, hele korn 
Millet, grain";"Gryn 
Grains";80am;13f;12am;;;;;;;;
"Hvete, hele korn 
Wheat, grain";"Gryn 
Grains";60a;9a;9a;;;;;;;;
"Quinoa, kokt 
Quinoa, cooked";"Gryn 
Grains";;;;;185d;"porsjon 
portion";;;;;
"Quinoa, tørr 
Quinoa, uncooked";"Gryn 
Grains";70a;11a;11a;;75v;"porsjon 
portion";;;;;
"Semulegryn, hvetegryn 
Semolina, wheat meal";"Gryn 
Grains";70a;10a;10a;;;;;;;;
"Sorghum 
Sorghum";"Gryn 
Grains";75f;12f;10f;;;;;;;;
"Fersk pasta 
Fresh pasta";"Pasta ris nuddler 
Pasta rice noodles";;;;;;;;;;110d;
"Fersk pasta, kokt 
Fresh pasta, cooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;;;;;;195ģ;
"Fersk pasta, Ravioli 
Fresh pasta, Ravioli";"Pasta ris nuddler 
Pasta rice noodles";;;;;35a;"desiliter 
decilitre";;;;;
"Fersk pasta, Ravioli 
Fresh pasta, Ravioli";"Pasta ris nuddler 
Pasta rice noodles";;;;;3,5a;"stk 
one";;;;;
"Fersk pasta, Tortellini 
Fresh pasta, Tortellini";"Pasta ris nuddler 
Pasta rice noodles";;;;;45a;"desiliter 
decilitre";;;;;
"Fersk pasta, Tortellini 
Fresh pasta, Tortellini";"Pasta ris nuddler 
Pasta rice noodles";;;;;5a;"stk 
one";;;;;
"Fullkornpasta, kokt 
Whole-grain pasta, cooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;;;;;;195ģ;
"Fullkornpasta, tørr 
Whole-grain pasta, uncooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;30f;"desiliter 
decilitre";;;;85d;
"Grøtris 
Porridge rice";"Pasta ris nuddler 
Pasta rice noodles";;;;;90a;"desiliter 
decilitre";;;;;
"Hurtigris, kokt 
Pre-boiled rice, cooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;;;;;;160ģ;
"Hurtigris, tørr 
Pre-boiled rice, uncooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;50a;"desiliter 
decilitre";;;;;
"Lasagneplater, kokt 
Lasagne sheets, cooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;45d;"stk 
one";;;;;
"Lasagneplater, tørr 
Lasagne sheets, uncooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;17a;"stk 
one";;;;;
"Makaroni, kokt 
Macaroni, cooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;;;;;;195ģ;
"Makaroni, tørr 
Macaroni, uncooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;40a;"desiliter 
decilitre";;;;75d;
"Nudler, med egg, kokt 
Egg noodles, cooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;;;;;;220d;
"Nudler, med egg, tørr 
Egg noodles, uncooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;;;;;;85ģ;
"Nudler, uten egg, kokt 
Noodles, without egg, cooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;;;;;;180d;
"Nudler, uten egg, tørr 
Noodles, without egg, uncooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;;;;;;85ģ;
"Pasta, kokt 
Pasta, cooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;;;;;;195ģ;
"Pasta, tørr 
Pasta, uncooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;30a;"desiliter 
decilitre";;;;75d;
"Ris, kokt 
Rice, cooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;;;;;;160ģ;
"Ris, tørr 
Rice, uncooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;80a;"desiliter 
decilitre";;;;55d;
"Spagetti, kokt 
Spaghetti, cooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;;;;;;195ģ;
"Spagetti, tørr 
Spaghetti, uncooked";"Pasta ris nuddler 
Pasta rice noodles";;;;;;;;;;65d;
"Corn flakes 
Corn flakes";"Korn frokostblanding 
Grain breakfast cereal";14a;;3a;;;;;;;35ģ;
"Corn flakes, søtet, type Frosties 
Corn flakes, sweetened, Frosties";"Korn frokostblanding 
Grain breakfast cereal";16a;;3a;;;;;;;35ģ;
"Frokostkorn med sjokoladesmak 
Breakfast cereal, chocolate flavored";"Korn frokostblanding 
Grain breakfast cereal";15a;;3a;;;;;;;35ģ;
"Havreputer 
Oat pillows";"Korn frokostblanding 
Grain breakfast cereal";12a;;2,5a;;;;;;;35ģ;
"Müsli, kornblanding 
Muesli";"Korn frokostblanding 
Grain breakfast cereal";50a;;7a;;;;;;;100ģ;
"Puffet havre, havrenøtter 
Puffed oats";"Korn frokostblanding 
Grain breakfast cereal";9a;;2a;;;;;;;35ģ;
"Puffet hvete, hvetenøtter 
Puffed wheat";"Korn frokostblanding 
Grain breakfast cereal";9f;;2f;;;;;;;35ģ;
"Puffet hvete, med sukker og honning, type Honnikorn 
Puffed wheat, with sugar and honey, Honnikorn";"Korn frokostblanding 
Grain breakfast cereal";13a;;2,5f;;;;;;;35ģ;
"Puffet ris 
Puffed rice";"Korn frokostblanding 
Grain breakfast cereal";9a;;2a;;;;;;;35ģ;
"Ristet havre, med frukt, olje, type Crüsli 
Breakfast cereal with oats, fruit and oil, Crüsli";"Korn frokostblanding 
Grain breakfast cereal";40a;;6a;;;;;;;100ģ;
"Ristet hvete og ris, type Spesial K 
Breakfast cereal with wheat and rice, Special K";"Korn frokostblanding 
Grain breakfast cereal";20a;;3,5a;;;;;;;35ģ;
"Ristet hveteflak, type All-bran regular 
Breakfast cereal, All-bran regular";"Korn frokostblanding 
Grain breakfast cereal";18a;;3,5a;;;;;;;35ģ;
"Ristet hvetekli, type All-bran plus 
Breakfast cereal, All-bran plus";"Korn frokostblanding 
Grain breakfast cereal";25a;;4a;;;;;;;35ģ;
"Brød, ekstra grovt 
Bread, extra coarse";"Korn brød hjemmelaget
 Grains bread homemade";;;;;45a;"Middels skive
 medium slice";;;;;
"Brød, grovt 
Bread, coarse";"Korn brød hjemmelaget
 Grains bread homemade";;;;;45a;"Middels skive
 medium slice";;;;;
"Brød, halvgrovt 
Bread, semi-coarse";"Korn brød hjemmelaget
 Grains bread homemade";;;;;45a;"Middels skive
 medium slice";;;;;
"Glutenfritt brød, fint 
Gluten-free bread, fine";"Korn brød hjemmelaget
 Grains bread homemade";;;;;40a;"Middels skive
 medium slice";;;;;
"Glutenfritt brød, grovt 
Gluten-free bread, coarse";"Korn brød hjemmelaget
 Grains bread homemade";;;;;45a;"Middels skive
 medium slice";;;;;
"Loff 
Bread, white";"Korn brød hjemmelaget
 Grains bread homemade";;;;;50a;"Middels skive
 medium slice";;;;;
"Brød, ekstra grovt 
Bread, extra coarse";"Korn brød kjøpt
 Grains bread storebought";;;;;50a;"Middels skive
 medium slice";;;;;
"Brød, grovt 
Bread, coarse";"Korn brød kjøpt
 Grains bread storebought";;;;;40a;"Middels skive
 medium slice";;;;;
"Brød, halvgrovt 
Bread, semi-coarse";"Korn brød kjøpt
 Grains bread storebought";;;;;40a;"Middels skive
 medium slice";;;;;
"Loff, formstekt 
Bread, white, square-shaped";"Korn brød kjøpt
 Grains bread storebought";;;;;40a;"Middels skive
 medium slice";;;;;
"Loff, spiral 
Bread, white, spirally shaped";"Korn brød kjøpt
 Grains bread storebought";;;;;30a;"Middels skive
 medium slice";;;;;
"Pumpernikkel 
Pumpernickel";"Korn brød kjøpt
 Grains bread storebought";;;;;40o;"Middels skive
 medium slice";;;;;
"Rugbrød, grovt 
Bread, rye, coarse";"Korn brød kjøpt
 Grains bread storebought";;;;;60o;"Middels skive
 medium slice";;;;;
"Rundstykke, fint 
Rolls, white";"Korn rundstykke hjemmelaget
Grains rolls homemade";;;;;45a;"stk 
one";;;;;
"Rundstykke, grovt 
Rolls, coarse";"Korn rundstykke hjemmelaget
Grains rolls homemade";;;;;70a;"stk 
one";;;;;
"Baguette, halvstekt 
Baguette, half-baked";"Korn rundstykke kjøpt
Grains rolls storebought";;;;;75/150o,u;"stk 
one";;;;;
"Hamburgerbrød 
Hamburger bun";"Korn rundstykke kjøpt
Grains rolls storebought";;;;;80o,u;"stk 
one";;;;;
"Lompe 
Potato soft flatbread";"Korn rundstykke kjøpt
Grains rolls storebought";;;;;25/35o,u;"stk 
one";;;;;
"Pitabrød 
Pita bread";"Korn rundstykke kjøpt
Grains rolls storebought";;;;;75o,u;"stk 
one";;;;;
"Pizzabunn 
Pizza crust";"Korn rundstykke kjøpt
Grains rolls storebought";;;;;550a;"stk 
one";;;;;
"Pølsebrød 
Hot dog bun";"Korn rundstykke kjøpt
Grains rolls storebought";;;;;30/60o,u;"stk 
one";;;;;
"Rundstykke, fint 
Rolls, fine";"Korn rundstykke kjøpt
Grains rolls storebought";;;;;85a,u;"stk 
one";;;;;
"Rundstykke, grovt 
Rolls, coarse";"Korn rundstykke kjøpt
Grains rolls storebought";;;;;70/100/145a,o,u;"stk 
one";;;;;
"Tortilla, hvetelefse, fin 
Tortilla, wheat flour";"Korn rundstykke kjøpt
Grains rolls storebought";;;;;40/60o,u;"stk 
one";;;;;
"Tortilla, hvetelefse, fullkorn 
Tortilla, wheat flour, wholemeal";"Korn rundstykke kjøpt
Grains rolls storebought";;;;;40/60o,u;"stk 
one";;;;;
"Tortilla, maislefse 
Tortilla, corn flour";"Korn rundstykke kjøpt
Grains rolls storebought";;;;;40u;"stk 
one";;;;;
"Flatbrød 
Flatbread, hard";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;4ag/20a;"stk 
one";;;;;
"Flatbrød, med havre 
Flatbread, hard, with oats";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;5m;"stk 
one";;;;;
"Glutenfritt knekkebrød 
Gluten-free crisp bread";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;13t;"stk 
one";;;;;
"Glutenfritt knekkebrød, hjemmelaget 
Gluten-free crisp bread, home made";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;13u;"stk 
one";;;;;
"Knekkebrød, lyst 
Crisp bread, light";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;14t;"stk 
one";;;;;
"Knekkebrød, med ekstra fiber 
Crisp bread, with extra fiber";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;11t;"stk 
one";;;;;
"Knekkebrød, med havre 
Crisp bread, with oats";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;18t;"stk 
one";;;;;
"Knekkebrød, med rug, grovt 
Crisp bread, with rye, brown";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;12i;"stk 
one";;;;;
"Knekkebrød, med rug, type Husman 
Crisp bread, with rye, Husman";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;14t;"stk 
one";;;;;
"Knekkebrød, tynt, type Rugsprø, Finncrisp 
Crisp bread, thin, Rugsprø, Finncrisp";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;11t;"stk 
one";;;;;
"Riskaker, lettsaltet 
Rice cake, with salt";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;1,5a/7t;"stk 
one";;;;;
"Riskaker, usaltet 
Rice cake, without salt";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;6u;"stk 
one";;;;;
"Tacobåter, trays, tubs 
Taco boats";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;20u;"stk 
one";;;;;
"Tacoskjell 
Taco shell";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;12u;"stk 
one";;;;;
"Barnekjeks 
Biscuit, for childen";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;3s;"stk 
one";;;;;
"Barnekjeks med sjokolade 
Biscuit, with chocolate, for children";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;7/13o;"stk 
one";;;;;
"Bixit 
Biscuit, with oats, Bixit";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;16s;"stk 
one";;;;;
"Cookies, små 
Cookies, small";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;11a,s;"stk 
one";;;;;
"Cookies, store 
Cookies, large";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;55/85a,o;"stk 
one";;;;;
"Cream cracker 
Cream cracker";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;11a;"stk 
one";;;;;
"Digestive, havrekjeks 
Biscuit, with oats, Digestive";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;15s;"stk 
one";;;;;
"Frokost cracker 
Cracker, Frokost";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;9s;"stk 
one";;;;;
"Gjende 
Biscuit, Gjende";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;7s;"stk 
one";;;;;
"Kaptein 
Cracker, Kaptein";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;7s;"stk 
one";;;;;
"Kavring 
Rusk";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;9n;"stk 
one";;;;;
"Kjeks fylt med syltetøy eller frukt 
Biscuit, filled with jam or fruit";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;13a,s;"stk 
one";;;;;
"Kjeks med havre og sjokolade 
Biscuit, with oats and chocolate";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;13s;"stk 
one";;;;;
"Kjeks med kremfyll 
Biscuit, filled";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;13s;"stk 
one";;;;;
"Kornmo 
Cracker, Kornmo";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;9s;"stk 
one";;;;;
"Marie 
Biscuit, Marie";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;4s;"stk 
one";;;;;
"Salte kjeks 
Cracker, fatty and salted";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;5ag;"stk 
one";;;;;
"SIBAS, havrekjeks 
Biscuit, with oats, SIBAS";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;16s;"stk 
one";;;;;
"Start 
Cracker, Start";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;7s;"stk 
one";;;;;
"Vaffelkjeks 
Wafer, filled";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;5s;"stk 
one";;;;;
"Kokosmakroner 
Coconut macaroon";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;20o/60a;"stk 
one";;;;;
"Kransekakestang 
Almond sticks";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;40o ;"stk 
one";;;;;
"Marengs 
Meringue";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;3a;"stk 
one";;;;;
"Pepperkaker 
Gingersnaps";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;7a;"stk 
one";;;;;
"Peppernøtter 
Ginger nuts";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;5m;"stk 
one";;;;;
"Serinakaker 
Cookie, Serinakake";"Korn kjeks flatbrød knekkebrød
Grains biscuits";;;;;10ag;"stk 
one";;;;;
"Berlinerbolle 
Berliner, filled doughnut";"Korn kaker
 Grains cakes";;;;;65a,u;"stk 
one";;;;;
"Bløtkake 
Sponge cake, layered, filled with whipped cream and jam";"Korn kaker
 Grains cakes";;;;;95ģ;"porsjon 
portion";;;;;
"Croissant 
Croissant";"Korn kaker
 Grains cakes";;;;;45/80a,u;"stk 
one";;;;;
"Cupcakes 
Cupcakes";"Korn kaker
 Grains cakes";;;;;60a;"stk 
one";;;;;
"Delfiakake 
Confectionery cake";"Korn kaker
 Grains cakes";;;;;25ag;"skive 
slice";;;;;
"Donuts 
Doughnuts";"Korn kaker
 Grains cakes";;;;;65a,o,u;"stk 
one";;;;;
"Eplepai, eplekake 
Apple pie, apple cake";"Korn kaker
 Grains cakes";;;;;80ģ;"porsjon 
portion";;;;;
"Formkake 
Pound cake";"Korn kaker
 Grains cakes";;;;;45a;"skive 
slice";;;;;
"Fyrstekake 
Macaroon cake, Norwegian Prince cake";"Korn kaker
 Grains cakes";;;;;80ģ;"porsjon 
portion";;;;;
"Glutenfrie boller, hjemmelaget 
Gluten-free sweet bun, home-made";"Korn kaker
 Grains cakes";;;;;60a;"stk 
one";;;;;
"Glutenfrie vafler 
Gluten-free waffles";"Korn kaker
 Grains cakes";;;;;85a;"plate 
waffel";;;;;
"Glutenfrie vafler 
Gluten-free waffles";"Korn kaker
 Grains cakes";;;;;17a;"hjerte 
piece";;;;;
"Gulrotkake 
Carrot cake";"Korn kaker
 Grains cakes";;;;;80ģ;"porsjon 
portion";;;;;
"Hvetebolle, rosinbolle, hjemmelaget 
Sweet bun, raisin bun, home-made";"Korn kaker
 Grains cakes";;;;;60a;"stk 
one";;;;;
"Hvetebolle, rosinbolle, kjøpt 
Sweet bun, raisin bun, industrially made";"Korn kaker
 Grains cakes";;;;;50/80/115a,u;"stk 
one";;;;;
"Kakelefse, tykklefse, kjøpt 
Soft Norwegian flatbread, lefse, filled, industrially made";"Korn kaker
 Grains cakes";;;;;55/120u;"stk 
one";;;;;
"Kakelefse, type Vestlandslefsa 
Soft Norwegian flatbread, Vestlandslefsa";"Korn kaker
 Grains cakes";;;;;35u;"stk 
one";;;;;
"Kanelbolle, skillingsbolle, hjemmelaget 
Cinnamon roll, home-made";"Korn kaker
 Grains cakes";;;;;65a;"stk 
one";;;;;
"Kanelbolle, skillingsbolle, kjøpt 
Cinnamon roll, industrially made";"Korn kaker
 Grains cakes";;;;;50/100/140a,u;"stk 
one";;;;;
"Marsipankake 
Sponge cake, layered, filled with whipped cream and jam, covered with marzipan";"Korn kaker
 Grains cakes";;;;;95ģ;"porsjon 
portion";;;;;
"Mazarin 
Swedish almond cake, macaroon tea cake";"Korn kaker
 Grains cakes";;;;;55u;"stk 
one";;;;;
"Muffins, kjøpt 
Muffins, industrially made";"Korn kaker
 Grains cakes";;;;;35/100/150a,u;"stk 
one";;;;;
"Muffins, med glasur og pynt, hjemmelaget 
Muffins, with icing, home-made";"Korn kaker
 Grains cakes";;;;;35a;"stk 
one";;;;;
"Muffins, uten glasur og pynt, hjemmelaget 
Muffins, home-made";"Korn kaker
 Grains cakes";;;;;30a;"stk 
one";;;;;
"Napoleonskake 
Napoleon cake";"Korn kaker
 Grains cakes";;;;;150i;"stk 
one";;;;;
"Ostekake 
Cheese cake";"Korn kaker
 Grains cakes";;;;;80ģ;"porsjon 
portion";;;;;
"Rullekake 
Swiss roll";"Korn kaker
 Grains cakes";;;;;25ag;"skive 
slice";;;;;
"Rømmevafler 
Waffles, made with sour cream";"Korn kaker
 Grains cakes";;;;;75a;"plate 
waffel";;;;;
"Rømmevafler 
Waffles, made with sour cream";"Korn kaker
 Grains cakes";;;;;15a;"hjerte 
piece";;;;;
"Sjokoladekake 
Chocolate cake";"Korn kaker
 Grains cakes";;;;;80ģ;"porsjon 
portion";;;;;
"Skolebrød, skolebolle 
Sweet bun, with custard, icing and desiccated coconut";"Korn kaker
 Grains cakes";;;;;115/160a,o,u;"stk 
one";;;;;
"Smultringer 
Doughnuts";"Korn kaker
 Grains cakes";;;;;45a,u;"stk 
one";;;;;
"Solskinnsbolle, kjøpt 
Sweet bun, with vanilla custard, industrially made";"Korn kaker
 Grains cakes";;;;;100/125/160a,u;"stk 
one";;;;;
"Sukkerbrød 
Sponge cake, plain";"Korn kaker
 Grains cakes";;;;;80ģ;"porsjon 
portion";;;;;
"Terteskjell 
Tart shell";"Korn kaker
 Grains cakes";;;;;30o;"stk 
one";;;;;
"Vafler 
Waffles";"Korn kaker
 Grains cakes";;;;;85a;"plate 
waffel";;;;;
"Vafler 
Waffles";"Korn kaker
 Grains cakes";;;;;17a;"hjerte 
piece";;;;;
"Vannbakkels, med fyll 
Cream puff, filled";"Korn kaker
 Grains cakes";;;;;35ag;"stk 
one";;;;;
"Vannbakkels, uten fyll 
Cream puff";"Korn kaker
 Grains cakes";;;;;20n;"stk 
one";;;;;
"Vørterkake, hvetekake 
Malt loaf, bread cake";"Korn kaker
 Grains cakes";;;;;45ag;"skive 
slice";;;;;
"Wienerbrød, med eggekrem 
Danish pastry, with custard filling";"Korn kaker
 Grains cakes";;;;;80a,u;"stk 
one";;;;;
"Wienerbrød, med syltetøy 
Danish pastry, with jam";"Korn kaker
 Grains cakes";;;;;50/80m;"stk 
one";;;;;
"Cashewnøtter 
Cashew nuts";"Nøtter frø 
Nuts seeds";60a;;;;20z;"neve 
handful";;;;;
"Gresskarkjerner, squashfrø 
Pumkpin seeds, squash seeds";"Nøtter frø 
Nuts seeds";60a;;;;9a;"spiseskje 
tablespoon";;;;;
"Hasselnøtter 
Hazel nuts";"Nøtter frø 
Nuts seeds";60a;;;;20z;"neve 
handful";;;;;
"Kastanjer, ristede 
Chestnuts, roasted";"Nøtter frø 
Nuts seeds";70ag;;;;8ar;stk one;;;;;
"Linfrø 
Linseeds, flax seeds";"Nøtter frø 
Nuts seeds";60a;;;;8a;"spiseskje 
tablespoon";;;;;
"Macadamianøtter 
Macadamia nuts";"Nøtter frø 
Nuts seeds";60a;;;;20z;"neve 
handful";;;;;
"Mandler 
Almonds";"Nøtter frø 
Nuts seeds";60a;;;;20z;"neve 
handful";;;;;
"Paranøtter 
Brazil nuts";"Nøtter frø 
Nuts seeds";65a;;;;20z;"neve 
handful";;;;;
"Peanøtter 
Peanuts";"Nøtter frø 
Nuts seeds";60a;;;;20z;"neve 
handful";;;;;
"Peanøttsmør 
Peanut butter";"Nøtter frø 
Nuts seeds";;;;;17a;"spiseskje 
tablespoon";;;;;
"Peanøttsmør 
Peanut butter";"Nøtter frø 
Nuts seeds";;;;;15ģ;"til en brødskive 
for a slice of bread";;;;;
"Pekannøtter 
Pecan nuts";"Nøtter frø 
Nuts seeds";45a;;;;1,5a;"stk 
one";;;;;
"Pinjekjerner 
Pine nuts";"Nøtter frø 
Nuts seeds";60a;;;;10a;"spiseskje 
tablespoon";;;;;
"Pistasjnøtter 
Pistachio nuts";"Nøtter frø 
Nuts seeds";50a;;;;0,5a;"stk 
one";;;;;
"Sesamfrø 
Sesame seeds";"Nøtter frø 
Nuts seeds";60a;;;;9a;"spiseskje 
tablespoon";;;;;
"Solsikkefrø 
Sunflower seeds";"Nøtter frø 
Nuts seeds";55a;;;;8a;"spiseskje 
tablespoon";;;;;
"Valnøtter 
Walnuts";"Nøtter frø 
Nuts seeds";45a;;;;20z;"neve 
handful";;;;;
"Pommes frites 
French fries";"Grønnsaker poteter 
vegetables potatoes";45ag;;;;135ģ;"porsjon 
portion";;;;;
"Potet, kokt 
Potato, boiled";"Grønnsaker poteter 
vegetables potatoes";;;;;170d;"porsjon 
portion";35/65/120d;83j;30/55/100d;;
"Potet, rå 
Potato, raw";"Grønnsaker poteter 
vegetables potatoes";60a;;;;170ģ;"porsjon 
portion";35/65/120a;83af;30/55/100b;;
"Potetmos 
Mashed potatoes";"Grønnsaker poteter 
vegetables potatoes";100ag;;;;200ģ;"porsjon 
portion";;;;;
