"Matvare
Food item";"Matvaregruppe
Foodgroup";"Vekt pr dl, g 
Weight per dl, g";"Vekt pr ms, g 
Weight per msp, g";"Vekt pr ss, g 
Weight per tbsp, g";"Vekt pr ts, g 
Weight per tsp, g";"g/enhet 
g/unit";"Enhet 
Unit";Brutto g;Spiselig del % Edible part %;Netto g;"Vekt pr porsjon, g 
Weight per portion, g";
"Kalkunkjøtt 
Turkey meat";"Fugl rå
Poultry raw";;;;;;;;100j;;195f;
"Kylling, hel, kjøtt med skinn 
Chicken, with skin";"Fugl rå
Poultry raw";;;;;;;1400y;71y;990b;195f;
"Kylling, hel, kjøtt uten skinn 
Chicken, without skin";"Fugl rå
Poultry raw";;;;;;;1200y;66y;785b;195f;
"Kylling, lår, med skinn 
Chicken, thigh and drumstick, with skin";"Fugl rå
Poultry raw";;;;;;;215y;78y;170b;195f;
"Kylling, lår, uten skinn 
Chicken, thigh and drumstick, without skin";"Fugl rå
Poultry raw";;;;;;;185y;74y;140b;195f;
"Kylling, lårklubbe, med skinn 
Chicken, drumstick, with skin";"Fugl rå
Poultry raw";;;;;;;100y;69y;70b;195f;
"Kylling, lårklubbe, uten skinn 
Chicken, drumstick, without skin";"Fugl rå
Poultry raw";;;;;;;90y;66y;60b;195f;
"Kylling, vinge, med skinn 
Chicken, wing, with skin";"Fugl rå
Poultry raw";;;;;;;30y;66y;20b;195f;
"Kylling, vinge, uten skinn 
Chicken, wing, without skin";"Fugl rå
Poultry raw";;;;;;;22y;56y;12b;195f;
"Kyllingfilet 
Chicken breast fillet";"Fugl rå
Poultry raw";;;;;;;175x;100h;175b;195d;
"Andekjøtt, ovnsstekt 
Duck meat, roasted";"Fugl tilberedt 
Poultry prepared";;;;;;;;100j;;150ģ;
"Gåsekjøtt, ovnsstekt 
Goose meat, roasted";"Fugl tilberedt 
Poultry prepared";;;;;;;;100j;;150ģ;
"Hønsekjøtt, kokt 
Hen meat, boiled";"Fugl tilberedt 
Poultry prepared";;;;;;;;100j;;150ģ;
"Kyllingfilet, kokt 
Chicken breast fillet, boiled";"Fugl tilberedt 
Poultry prepared";;;;;;;120d;100h;120b;150ģ;
"Kyllingfilet, ovnsstekt 
Chicken breast fillet, roasted";"Fugl tilberedt 
Poultry prepared";;;;;;;140d;100h;140b;150ģ;
"Kyllingfilet, stekt i panne 
Chicken breast fillet, pan-fried";"Fugl tilberedt 
Poultry prepared";;;;;;;140d;100h;140b;150ģ;
"Kotelett, kjøtt med fettrand 
Chops, with fat";"Kjøtt lam rå 
Meat lamb raw";;;;;;;145o;73ø;105b;270d;
"Kotelett, kjøtt uten fettrand 
Chops, fat trimmed";"Kjøtt lam rå 
Meat lamb raw";;;;;;;;58ø;;270d;
"Lår, med mørbrad 
Leg, with shank and sirloin";"Kjøtt lam rå 
Meat lamb raw";;;;;;;;79ab;;265d;
"Kotelett, stekt 
Chops, cutlet, pan-fried";"Kjøtt lam stekt 
Meat lamb prepared";;;;;;;80d;72o;60b;150ģ;
"Lårstek med mørbrad, ovnsstekt 
Leg, with shank and sirloin, roasted";"Kjøtt lam stekt 
Meat lamb prepared";;;;;;;;100j;;150ģ;
"Entrecôtekam 
Rib-eye steak, fillet steak";"Kjøtt storfe rå 
Meat beef raw";;;;;;;;78ab;;195d;
"Kalvekjøtt 
Veal";"Kjøtt storfe rå 
Meat beef raw";;;;;;;;;;200f;
"Storfekjøtt 
Beef";"Kjøtt storfe rå 
Meat beef raw";;;;;;;;;;200f;
"Ytrefilet 
Striploin";"Kjøtt storfe rå 
Meat beef raw";;;;;;;;100j;;200d;
"Entrecôtekam, stekt 
Rib-eye steak, fillet steak, roasted";"Kjøtt storfe tilberedt
Meat beef prepared";;;;;;;;71j;;150ģ;
"Kalvekjøtt, tilberedt 
Veal, prepared";"Kjøtt storfe tilberedt
Meat beef prepared";;;;;;;;;;150ģ;
"Storfekjøtt, tilberedt 
Beef, prepared";"Kjøtt storfe tilberedt
Meat beef prepared";;;;;;;;;;150ģ;
"Ytrefilet, stekt 
Striploin, roasted";"Kjøtt storfe tilberedt
Meat beef prepared";;;;;;;;100j;;150ģ;
"Bacon 
Bacon";"Kjøtt svin rå 
Meat pork raw";;;;;20a;"skive
rasher";;;;;
"Familieribbe 
Rib with loin";"Kjøtt svin rå 
Meat pork raw";;;;;;;;86j;;230d;
"Flatbiff 
Inside round";"Kjøtt svin rå 
Meat pork raw";;;;;;;;100å;;200d;
"Kotelett, kam, med fettrand 
Pork Chops, loin with bones";"Kjøtt svin rå 
Meat pork raw";;;;;;;170o;77å;130b;200d;
"Nakkekotelett 
Pork neck chops";"Kjøtt svin rå 
Meat pork raw";;;;;;;220o;83å;180b;230d;
"Sideflesk 
Side bacon";"Kjøtt svin rå 
Meat pork raw";;;;;;;;93ae;;150w;
"Svinekjøtt 
Pork ";"Kjøtt svin rå 
Meat pork raw";;;;;;;;;;200f;
"Bacon, stekt 
Bacon, pan-fried";"Kjøtt svin tilberedt
 Meat pork prepared";;;;;6d;"skive
rasher";;100j;;;
"Familieribbe, stekt 
Rib with loin, roasted";"Kjøtt svin tilberedt
 Meat pork prepared";;;;;;;;80j;;150ģ;
"Flatbiff, stekt 
Inside round, roasted";"Kjøtt svin tilberedt
 Meat pork prepared";;;;;;;;100j;;150ģ;
"Kotelett, kam med fettrand, stekt 
Loin chops with bones, roasted";"Kjøtt svin tilberedt
 Meat pork prepared";;;;;;;130d;79j;100b;150ģ;
"Nakkekotelett, stekt 
Pork neck chops, roasted";"Kjøtt svin tilberedt
 Meat pork prepared";;;;;;;145d;77j;110b;150ģ;
"Sideflesk, stekt 
Side bacon, pan-fried";"Kjøtt svin tilberedt
 Meat pork prepared";;;;;;;;100j;;55d;
"Svinekjøtt, tilberedt 
Pork meat, prepared";"Kjøtt svin tilberedt
 Meat pork prepared";;;;;;;;;;150ģ;
"Viltkjøtt, rå 
Venison, raw";"Vilt 
Venison";;;;;;;;;;200d;
"Viltkjøtt, tilberedt 
Venison, prepared";"Vilt tilberedt
Venison";;;;;;;;;;150ģ;
"Falukorv 
Swedish sausage";"Kjøtt pølser
 Meat sausages";;;;;400/800o;"stk 
per item";;;;;
"Grillpølse 
Grill sausage, hot dogs";"Kjøtt pølser
 Meat sausages";;;;;60o;"stk 
per item";;;;;
"Grillpølse, kylling og kalkun 
Grill sausage, chicken and turkey";"Kjøtt pølser
 Meat sausages";;;;;60o;"stk 
per item";;;;;
"Grillpølse, med mindre fett 
Grill sausage, lean";"Kjøtt pølser
 Meat sausages";;;;;60o;"stk 
per item";;;;;
"Kjøttpølse 
Meat sausage";"Kjøtt pølser
 Meat sausages";;;;;90/150o;"stk 
per item";;;;;
"Kjøttpølse, med mindre fett 
Meat sausage, lean";"Kjøtt pølser
 Meat sausages";;;;;90o;"stk 
per item";;;;;
"Knakkpølse 
Mild dinner sausage, Knakkpølse";"Kjøtt pølser
 Meat sausages";;;;;65o;"stk 
per item";;;;;
"Kylling- og kalkunpølse, med mindre fett 
Chicken and turkey sausage, lean";"Kjøtt pølser
 Meat sausages";;;;;60o;"stk 
per item";;;;;
"Kylling- og kalkunpølse, med ost 
Chicken and turkey sausage, with cheese";"Kjøtt pølser
 Meat sausages";;;;;60o;"stk 
per item";;;;;
"Medisterpølse 
Pork sausage";"Kjøtt pølser
 Meat sausages";;;;;400o;"stk 
per item";;;;;
"Ostegrill 
Grill sausage, with cheese";"Kjøtt pølser
 Meat sausages";;;;;80o;"stk 
per item";;;;;
"Sosisser 
Cocktail sausage";"Kjøtt pølser
 Meat sausages";;;;;30ag;"stk 
per item";;;;;
"Wienerpølse 
Wiener/frankfurter";"Kjøtt pølser
 Meat sausages";;;;;65o;"stk 
per item";;;;;
"Wienerpølse, med mindre fett 
Wiener/frankfurter, lean";"Kjøtt pølser
 Meat sausages";;;;;65o;"stk 
per item";;;;;
"Bayonneskinke 
Smoked picnic shoulder";"Kjøtt pålegg
 Meat cold cuts";;;;;15m;"Pr skive
 Per slice";;;;;
"Fenalår 
Cured leg of mutton";"Kjøtt pålegg
 Meat cold cuts";;;;;15ag;"Pr skive
 Per slice";;;;;
"Fleskepølse 
Pork sausage";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr skive
 Per slice";;;;;
"Fårepølse 
Mutton sausage";"Kjøtt pålegg
 Meat cold cuts";;;;;5n;"Pr skive
 Per slice";;;;;
"Kalkunfilet 
Turkey ham, for sandwiches";"Kjøtt pålegg
 Meat cold cuts";;;;;11o;"Pr skive
 Per slice";;;;;
"Kalverull 
Veal roll";"Kjøtt pålegg
 Meat cold cuts";;;;;12ag;"Pr skive
 Per slice";;;;;
"Kokt skinke 
Boiled ham";"Kjøtt pålegg
 Meat cold cuts";;;;;12o;"Pr skive
 Per slice";;;;;
"Lammerull 
Lamb roll";"Kjøtt pålegg
 Meat cold cuts";;;;;12a ;"Pr skive
 Per slice";;;;;
"Leverpostei 
Liver paste";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr skive
 Per slice";;;;;
"Morrpølse 
Sausage, cured, Morr";"Kjøtt pålegg
 Meat cold cuts";;;;;2a;"Pr skive
 Per slice";;;;;
"Okserull 
Rolled beef";"Kjøtt pålegg
 Meat cold cuts";;;;;9o;"Pr skive
 Per slice";;;;;
"Reinsdyrpølse 
Reindeer sausage";"Kjøtt pålegg
 Meat cold cuts";;;;;3,5a;"Pr skive
 Per slice";;;;;
"Ribberull 
Pork roll";"Kjøtt pålegg
 Meat cold cuts";;;;;14a;"Pr skive
 Per slice";;;;;
"Roastbiff 
Roast beef";"Kjøtt pålegg
 Meat cold cuts";;;;;13a;"Pr skive
 Per slice";;;;;
"Salami 
Salami";"Kjøtt pålegg
 Meat cold cuts";;;;;7a;"Pr skive
 Per slice";;;;;
"Salami, dansk type 
Salami, Danish";"Kjøtt pålegg
 Meat cold cuts";;;;;10a;"Pr skive
 Per slice";;;;;
"Salami, med mindre fett 
Salami, lean";"Kjøtt pålegg
 Meat cold cuts";;;;;7o;"Pr skive
 Per slice";;;;;
"Servelat 
Bologna";"Kjøtt pålegg
 Meat cold cuts";;;;;9o;"Pr skive
 Per slice";;;;;
"Servelat, med mindre fett 
Bologna, lean";"Kjøtt pålegg
 Meat cold cuts";;;;;9o;"Pr skive
 Per slice";;;;;
"Spekeskinke 
Smoke-cured ham";"Kjøtt pålegg
 Meat cold cuts";;;;;8a;"Pr skive
 Per slice";;;;;
"Stabburpølse 
Sausage, Stabburpølse";"Kjøtt pålegg
 Meat cold cuts";;;;;4,5a;"Pr skive
 Per slice";;;;;
"Svinekam, røkt 
Pork loin, smoked";"Kjøtt pålegg
 Meat cold cuts";;;;;15f;"Pr skive
 Per slice";;;;;
"Sylte 
Head cheese";"Kjøtt pålegg
 Meat cold cuts";;;;;11m;"Pr skive
 Per slice";;;;;
"Westfalerskinke 
Cured ham";"Kjøtt pålegg
 Meat cold cuts";;;;;12ag;"Pr skive
 Per slice";;;;;
"Bayonneskinke 
Smoked picnic shoulder";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Fenalår 
Cured leg of mutton";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Fleskepølse 
Pork sausage";"Kjøtt pålegg
 Meat cold cuts";;;;;15f;"Pr brødskive 
Per slice of bread";;;;;
"Fårepølse 
Mutton sausage";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Kalkunfilet 
Turkey ham, for sandwiches";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Kalverull 
Veal roll";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Kokt skinke 
Boiled ham";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Lammerull 
Lamb roll";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Leverpostei 
Liver paste";"Kjøtt pålegg
 Meat cold cuts";;;;;20g;"Pr brødskive 
Per slice of bread";;;;;
"Morrpølse 
Sausage, cured, Morr";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Okserull 
Rolled beef";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Reinsdyrpølse 
Reindeer sausage";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Ribberull 
Pork roll";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Roastbiff 
Roast beef";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Salami 
Salami";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Salami, dansk type 
Salami, Danish";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Salami, med mindre fett 
Salami, lean";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Servelat 
Bologna";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Servelat, med mindre fett 
Bologna, lean";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Spekeskinke 
Smoke-cured ham";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Stabburpølse 
Sausage, Stabburpølse";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Svinekam, røkt 
Pork loin, smoked";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Sylte 
Head cheese";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Westfalerskinke 
Cured ham";"Kjøtt pålegg
 Meat cold cuts";;;;;;"Pr brødskive 
Per slice of bread";;;;;
"Bogskinke, hermetisk 
Boiled ham, canned";"Kjøttprodukter 
Meat products";;;;;25a;"skive 
slice";;;;;
"Hamburger, rå 
Ground meat, raw";"Kjøttprodukter 
Meat products";;;;;100o;"stk 
one";;;;;
"Karbonade,stekt 
Beef patties, fried";"Kjøttprodukter 
Meat products";;;;;100o;"stk 
one";;;;150g;
"Kjøttboller, hermetisk 
Meat balls, canned";"Kjøttprodukter 
Meat products";;;;;9a;"stk 
one";;;;150g;
"Kjøttboller, kylling og kalkun 
Chicken and turkey meat balls";"Kjøttprodukter 
Meat products";;;;;15a;"stk 
one";;;;150g;
"Kjøttkaker 
Meat rissoles";"Kjøttprodukter 
Meat products";;;;;55o;"stk 
one";;;;150g;
"Kjøttpudding 
Meat loaf";"Kjøttprodukter 
Meat products";;;;;30a;"skive 
slice";;;;150g;
"Kyllingnuggets, dagligvare 
Chicken nuggets, industrially made";"Kjøttprodukter 
Meat products";;;;;20o;"stk 
one";;;;;
"Kyllingnuggets, fastfood 
Chicken nuggets, fastfood";"Kjøttprodukter 
Meat products";;;;;16a;"stk 
one";;;;;
"Medisterkaker, stekt 
Pork patties, fried";"Kjøttprodukter 
Meat products";;;;;80o;"stk 
one";;;;150g;
"Ostepanetter med kylling 
Chicken schnitzel, with cheese";"Kjøttprodukter 
Meat products";;;;;75o;"stk 
one";;;;;
"Reinsdyrkaker, hermetisk 
Reindeer meat balls, canned";"Kjøttprodukter 
Meat products";;;;;15ag;"stk 
one";;;;150g;
"Wienersnitzel 
Wienerschnitzel";"Kjøttprodukter 
Meat products";;;;;150o;"stk 
one";;;;;
"Fet fisk, rå 
Fatty fish, raw";"Fet fisk 
Fatty fish";;;;;;"stk 
one";;;;175d;
"Fet fisk, tilberedt 
Fatty fish, prepared";"Fet fisk tilberedt
Fatty fish prepared";;;;;;"stk 
one";;;;150ģ;
"Laksefilet, rå 
Salmon fillet, raw";"Fet fisk 
Fatty fish";;;;;125x;"stk 
one";;;;175d;
"Laksefilet, tilberedt 
Salmon fillet, prepared";"Fet fisk tilberedt
Fatty fish prepared";;;;;110d;"stk 
one";;;;150ģ;
"Ørretfilet, rå 
Trout fillet, raw";"Fet fisk 
Fatty fish";;;;;160o;"stk 
one";;;;175f;
"Ørretfilet, tilberedt 
Trout fillet, prepared";"Fet fisk tilberedt
Fatty fish prepared";;;;;140d;"stk 
one";;;;150ģ;
"Lutefisk 
Cod, traditional Norwegian dish, Lutefisk";"Mager fisk 
Lean fish";;;;;;"stk 
one";;;;500p;
"Mager fisk, rå 
Lean fish, raw";"Mager fisk 
Lean fish";;;;;;"stk 
one";;;;270d;
"Mager fisk, tilberedt 
Lean fish, prepared";"Mager fisk tilberedt 
Lean fish prepared";;;;;;"stk 
one";;;;200ģ;
"Rødspette, fylt, forfritert, frossen 
Plaice, filled, pre-fried, frozen";"Mager fisk tilberedt 
Lean fish prepared";;;;;150o;"stk 
one";;;;200ģ;
"Rødspettefilet, kavringpanert, rå 
Plaice fillet, rolled in breadcrumps, raw";"Mager fisk tilberedt 
Lean fish prepared";;;;;100o;"stk 
one";;;;200ģ;
